,tissue,color,size,OCTX,TCTX
OCTX_black,OCTX,black,530,NA,52.6134485294987
OCTX_blue,OCTX,blue,1372,NA,51.9469716056687
OCTX_brown,OCTX,brown,669,NA,68.1454522268023
OCTX_cyan,OCTX,cyan,435,NA,22.449682295378
OCTX_darkgreen,OCTX,darkgreen,367,NA,23.8929714417794
OCTX_darkgrey,OCTX,darkgrey,1389,NA,12.9286444227725
OCTX_darkmagenta,OCTX,darkmagenta,455,NA,23.6406530419083
OCTX_darkolivegreen,OCTX,darkolivegreen,355,NA,15.2685304673272
OCTX_darkorange,OCTX,darkorange,504,NA,14.5039622900187
OCTX_darkturquoise,OCTX,darkturquoise,538,NA,25.7054786451331
OCTX_green,OCTX,green,490,NA,18.9839136108203
OCTX_greenyellow,OCTX,greenyellow,630,NA,41.1697474959314
OCTX_grey60,OCTX,grey60,313,NA,25.1948422464808
OCTX_lightcyan,OCTX,lightcyan,361,NA,32.4548476488196
OCTX_lightgreen,OCTX,lightgreen,378,NA,32.0338179098358
OCTX_lightyellow,OCTX,lightyellow,532,NA,15.62393604829
OCTX_magenta,OCTX,magenta,378,NA,33.7085769135563
OCTX_midnightblue,OCTX,midnightblue,421,NA,21.822987850576
OCTX_orange,OCTX,orange,436,NA,26.1998877728936
OCTX_paleturquoise,OCTX,paleturquoise,587,NA,20.8974212798692
OCTX_pink,OCTX,pink,501,NA,62.1362788222291
OCTX_purple,OCTX,purple,545,NA,34.7528740768574
OCTX_red,OCTX,red,581,NA,18.9127067788782
OCTX_royalblue,OCTX,royalblue,418,NA,19.6357893732579
OCTX_saddlebrown,OCTX,saddlebrown,430,NA,24.9898058158165
OCTX_salmon,OCTX,salmon,518,NA,24.7290976316698
OCTX_sienna3,OCTX,sienna3,400,NA,16.8404851298996
OCTX_skyblue,OCTX,skyblue,423,NA,19.5861822424662
OCTX_steelblue,OCTX,steelblue,443,NA,16.1097960749999
OCTX_tan,OCTX,tan,440,NA,26.5258285011225
OCTX_turquoise,OCTX,turquoise,1775,NA,102.111406860299
OCTX_violet,OCTX,violet,344,NA,21.9480308166348
OCTX_white,OCTX,white,547,NA,25.0112946592317
OCTX_yellow,OCTX,yellow,647,NA,25.5019983133886
TCTX_black,TCTX,black,898,40.5914925163947,NA
TCTX_blue,TCTX,blue,1556,78.6814128324766,NA
TCTX_brown,TCTX,brown,883,46.0535044563442,NA
TCTX_cyan,TCTX,cyan,647,28.0390412062762,NA
TCTX_darkgreen,TCTX,darkgreen,518,14.279337335375,NA
TCTX_darkred,TCTX,darkred,844,20.9725368155677,NA
TCTX_darkturquoise,TCTX,darkturquoise,687,18.0698396332511,NA
TCTX_green,TCTX,green,896,39.8046477101026,NA
TCTX_greenyellow,TCTX,greenyellow,738,44.7980977023951,NA
TCTX_grey60,TCTX,grey60,622,32.1567463713586,NA
TCTX_lightcyan,TCTX,lightcyan,647,33.2292110930788,NA
TCTX_lightgreen,TCTX,lightgreen,774,35.2875352523214,NA
TCTX_lightyellow,TCTX,lightyellow,699,25.445170646375,NA
TCTX_magenta,TCTX,magenta,906,57.0543366556623,NA
TCTX_midnightblue,TCTX,midnightblue,794,27.0796414173538,NA
TCTX_pink,TCTX,pink,893,31.7318718671889,NA
TCTX_purple,TCTX,purple,800,57.9213277841593,NA
TCTX_red,TCTX,red,1607,52.0731158744229,NA
TCTX_salmon,TCTX,salmon,683,27.8590211067959,NA
TCTX_tan,TCTX,tan,722,29.2999335311498,NA
TCTX_turquoise,TCTX,turquoise,1565,63.3105741724878,NA
TCTX_yellow,TCTX,yellow,773,63.5474743716346,NA
