,tissue,color,size,FCTX,PUTM
FCTX_black,FCTX,black,808,NA,22.8398035810515
FCTX_blue,FCTX,blue,1816,NA,39.928121749665
FCTX_brown,FCTX,brown,960,NA,56.7173275255988
FCTX_cyan,FCTX,cyan,586,NA,22.1786237477325
FCTX_darkgreen,FCTX,darkgreen,634,NA,16.436314488927
FCTX_darkred,FCTX,darkred,1377,NA,18.3760458997845
FCTX_darkturquoise,FCTX,darkturquoise,550,NA,11.8732254208591
FCTX_green,FCTX,green,751,NA,25.1228482806632
FCTX_greenyellow,FCTX,greenyellow,646,NA,8.77873292877375
FCTX_grey60,FCTX,grey60,468,NA,22.6331985765233
FCTX_lightcyan,FCTX,lightcyan,601,NA,13.0225963834238
FCTX_lightgreen,FCTX,lightgreen,707,NA,13.8994938010931
FCTX_lightyellow,FCTX,lightyellow,669,NA,9.97946572515364
FCTX_magenta,FCTX,magenta,785,NA,27.6755111914618
FCTX_midnightblue,FCTX,midnightblue,598,NA,23.8369404388803
FCTX_pink,FCTX,pink,719,NA,19.9077926321054
FCTX_purple,FCTX,purple,635,NA,16.1143785186412
FCTX_red,FCTX,red,877,NA,27.0952331329971
FCTX_royalblue,FCTX,royalblue,561,NA,9.03018926234756
FCTX_salmon,FCTX,salmon,560,NA,13.2993963478102
FCTX_tan,FCTX,tan,580,NA,12.2317838552983
FCTX_turquoise,FCTX,turquoise,2545,NA,103.793106294258
FCTX_yellow,FCTX,yellow,719,NA,35.3965960646907
PUTM_black,PUTM,black,867,40.2930238953565,NA
PUTM_blue,PUTM,blue,1028,30.7748833369823,NA
PUTM_brown,PUTM,brown,1090,45.0697609086931,NA
PUTM_cyan,PUTM,cyan,524,6.15887105833436,NA
PUTM_green,PUTM,green,725,59.8759881785799,NA
PUTM_greenyellow,PUTM,greenyellow,362,16.6039162820081,NA
PUTM_grey60,PUTM,grey60,794,10.0459348077781,NA
PUTM_lightcyan,PUTM,lightcyan,736,18.7434164916964,NA
PUTM_lightgreen,PUTM,lightgreen,849,13.7033104897443,NA
PUTM_lightyellow,PUTM,lightyellow,2271,13.3220872444648,NA
PUTM_magenta,PUTM,magenta,694,22.2273691634319,NA
PUTM_midnightblue,PUTM,midnightblue,652,16.5486699393674,NA
PUTM_pink,PUTM,pink,590,36.4872827105563,NA
PUTM_purple,PUTM,purple,644,22.6133547122857,NA
PUTM_red,PUTM,red,1149,56.5917624337108,NA
PUTM_royalblue,PUTM,royalblue,1455,4.27993147197394,NA
PUTM_salmon,PUTM,salmon,551,3.60681542765211,NA
PUTM_tan,PUTM,tan,366,25.27341952324,NA
PUTM_turquoise,PUTM,turquoise,2709,86.5299419583776,NA
PUTM_yellow,PUTM,yellow,1096,9.71698211636815,NA
