,tissue,color,size,HIPP,TCTX
HIPP_black,HIPP,black,630,NA,54.8048246982485
HIPP_blue,HIPP,blue,972,NA,57.608855223228
HIPP_brown,HIPP,brown,710,NA,9.90452696997667
HIPP_cyan,HIPP,cyan,527,NA,52.5610943438863
HIPP_darkgreen,HIPP,darkgreen,373,NA,19.0432579111171
HIPP_darkgrey,HIPP,darkgrey,402,NA,12.079885684379
HIPP_darkorange,HIPP,darkorange,397,NA,18.7710092159874
HIPP_darkred,HIPP,darkred,321,NA,1.09047387596285
HIPP_darkturquoise,HIPP,darkturquoise,346,NA,2.2780492706782
HIPP_green,HIPP,green,455,NA,27.8361510880742
HIPP_greenyellow,HIPP,greenyellow,441,NA,22.0855610875281
HIPP_grey60,HIPP,grey60,607,NA,26.6889457110833
HIPP_lightcyan,HIPP,lightcyan,597,NA,21.8816540552403
HIPP_lightgreen,HIPP,lightgreen,1530,NA,19.8085714281973
HIPP_lightyellow,HIPP,lightyellow,492,NA,32.2927071357093
HIPP_magenta,HIPP,magenta,481,NA,2.69874946663779
HIPP_midnightblue,HIPP,midnightblue,332,NA,2.68451317630326
HIPP_orange,HIPP,orange,525,NA,8.89557722926444
HIPP_paleturquoise,HIPP,paleturquoise,407,NA,7.81392018769588
HIPP_pink,HIPP,pink,433,NA,15.1512636757231
HIPP_purple,HIPP,purple,427,NA,19.5569131934829
HIPP_red,HIPP,red,435,NA,18.8153370710649
HIPP_royalblue,HIPP,royalblue,675,NA,23.1337240613798
HIPP_saddlebrown,HIPP,saddlebrown,1296,NA,15.1548173057557
HIPP_salmon,HIPP,salmon,351,NA,3.6251523435502
HIPP_skyblue,HIPP,skyblue,408,NA,16.4795352679662
HIPP_steelblue,HIPP,steelblue,503,NA,18.8369275989933
HIPP_tan,HIPP,tan,420,NA,49.3759284105617
HIPP_turquoise,HIPP,turquoise,2119,NA,104.522197148923
HIPP_violet,HIPP,violet,365,NA,14.9944034300003
HIPP_white,HIPP,white,551,NA,27.0356111665549
HIPP_yellow,HIPP,yellow,624,NA,23.9857274909565
TCTX_black,TCTX,black,898,28.0835861405965,NA
TCTX_blue,TCTX,blue,1556,64.547614907805,NA
TCTX_brown,TCTX,brown,883,49.2301328152588,NA
TCTX_cyan,TCTX,cyan,647,38.9180209698662,NA
TCTX_darkgreen,TCTX,darkgreen,518,15.755100719432,NA
TCTX_darkred,TCTX,darkred,844,19.8887391795808,NA
TCTX_darkturquoise,TCTX,darkturquoise,687,19.8289959851135,NA
TCTX_green,TCTX,green,896,45.3824456373098,NA
TCTX_greenyellow,TCTX,greenyellow,738,28.7963317270748,NA
TCTX_grey60,TCTX,grey60,622,23.9619469332982,NA
TCTX_lightcyan,TCTX,lightcyan,647,27.356597801514,NA
TCTX_lightgreen,TCTX,lightgreen,774,19.7400333167222,NA
TCTX_lightyellow,TCTX,lightyellow,699,25.753239778705,NA
TCTX_magenta,TCTX,magenta,906,53.4038273854562,NA
TCTX_midnightblue,TCTX,midnightblue,794,33.91313599059,NA
TCTX_pink,TCTX,pink,893,22.8956924234214,NA
TCTX_purple,TCTX,purple,800,47.1297470055726,NA
TCTX_red,TCTX,red,1607,40.3291927935071,NA
TCTX_salmon,TCTX,salmon,683,38.1256608388333,NA
TCTX_tan,TCTX,tan,722,16.4576542815538,NA
TCTX_turquoise,TCTX,turquoise,1565,57.5936119236027,NA
TCTX_yellow,TCTX,yellow,773,84.1149356194298,NA
