,tissue,color,size,SNIG,WHMT
SNIG_black,SNIG,black,1016,NA,24.7544613530086
SNIG_blue,SNIG,blue,2459,NA,57.762485629638
SNIG_brown,SNIG,brown,1083,NA,10.3544768856407
SNIG_cyan,SNIG,cyan,1193,NA,7.36505115998075
SNIG_green,SNIG,green,1465,NA,67.1227308299222
SNIG_greenyellow,SNIG,greenyellow,1439,NA,20.5021964582801
SNIG_magenta,SNIG,magenta,1117,NA,15.564137945068
SNIG_pink,SNIG,pink,1294,NA,28.7696452546856
SNIG_purple,SNIG,purple,625,NA,42.8291431154708
SNIG_red,SNIG,red,1435,NA,28.681855707453
SNIG_salmon,SNIG,salmon,1091,NA,13.1729515686776
SNIG_turquoise,SNIG,turquoise,2953,NA,74.6802838702081
SNIG_yellow,SNIG,yellow,1982,NA,53.2802011651905
WHMT_black,WHMT,black,1184,22.0493356430857,NA
WHMT_blue,WHMT,blue,1315,60.899162318828,NA
WHMT_brown,WHMT,brown,1360,33.912691814944,NA
WHMT_cyan,WHMT,cyan,1069,6.87935466375874,NA
WHMT_green,WHMT,green,1230,11.4852345452981,NA
WHMT_greenyellow,WHMT,greenyellow,550,10.2145071783073,NA
WHMT_grey60,WHMT,grey60,972,6.38542693567667,NA
WHMT_lightcyan,WHMT,lightcyan,708,19.4335825450217,NA
WHMT_magenta,WHMT,magenta,658,16.1635783996708,NA
WHMT_midnightblue,WHMT,midnightblue,463,26.6688374125161,NA
WHMT_pink,WHMT,pink,1110,20.2475566933788,NA
WHMT_purple,WHMT,purple,602,28.4077230140657,NA
WHMT_red,WHMT,red,625,32.9672340048538,NA
WHMT_salmon,WHMT,salmon,1303,18.2855361364928,NA
WHMT_tan,WHMT,tan,1046,33.6965382980091,NA
WHMT_turquoise,WHMT,turquoise,2677,83.1355768159786,NA
WHMT_yellow,WHMT,yellow,2280,36.6338341111591,NA
