,tissue,color,size,MEDU,THAL
MEDU_black,MEDU,black,799,NA,22.7965870998843
MEDU_blue,MEDU,blue,1723,NA,62.2190331471651
MEDU_brown,MEDU,brown,933,NA,24.6279793669652
MEDU_cyan,MEDU,cyan,1552,NA,20.8557766833726
MEDU_green,MEDU,green,909,NA,9.93494653138293
MEDU_greenyellow,MEDU,greenyellow,972,NA,38.8075129858897
MEDU_grey60,MEDU,grey60,794,NA,5.13623233969216
MEDU_lightcyan,MEDU,lightcyan,900,NA,38.5912706218492
MEDU_lightgreen,MEDU,lightgreen,922,NA,7.12878613185701
MEDU_lightyellow,MEDU,lightyellow,815,NA,9.64012387200792
MEDU_midnightblue,MEDU,midnightblue,911,NA,2.1976076385585
MEDU_pink,MEDU,pink,457,NA,18.4176383056312
MEDU_purple,MEDU,purple,1275,NA,29.8999186067197
MEDU_red,MEDU,red,1087,NA,43.6430866919926
MEDU_tan,MEDU,tan,1421,NA,12.3216673641236
MEDU_turquoise,MEDU,turquoise,2429,NA,84.4484655025347
MEDU_yellow,MEDU,yellow,1253,NA,56.5848897090685
THAL_black,THAL,black,1308,39.3642098068376,NA
THAL_blue,THAL,blue,2188,43.1425132446802,NA
THAL_brown,THAL,brown,1284,38.844846280712,NA
THAL_cyan,THAL,cyan,729,4.49076408971983,NA
THAL_darkgreen,THAL,darkgreen,838,52.1195957821807,NA
THAL_darkred,THAL,darkred,1017,11.0702521858281,NA
THAL_greenyellow,THAL,greenyellow,458,7.73438817572026,NA
THAL_grey60,THAL,grey60,475,5.8894109092283,NA
THAL_lightcyan,THAL,lightcyan,1133,17.655385788903,NA
THAL_lightgreen,THAL,lightgreen,966,20.3538937838105,NA
THAL_lightyellow,THAL,lightyellow,493,7.05355551860174,NA
THAL_magenta,THAL,magenta,746,9.85063311527722,NA
THAL_midnightblue,THAL,midnightblue,306,31.1893741743467,NA
THAL_pink,THAL,pink,1035,21.5910909759317,NA
THAL_red,THAL,red,1241,86.8335061915026,NA
THAL_salmon,THAL,salmon,426,40.0302587362921,NA
THAL_tan,THAL,tan,808,5.10190456289792,NA
THAL_turquoise,THAL,turquoise,3072,85.0013587461209,NA
THAL_yellow,THAL,yellow,629,42.1359231950965,NA
